Historical_Income,Crop_Types,Weather_Forecasts,Market_Conditions,Investment_Machinery,Expenses,Profit_Margins,Farming_Income
21854.30535,Rice,-2.594682846,0.904682273,1,6147.962905,0.436181312,23164.42634
47782.14379,Corn,11.6760379,0.89879152,1,8248.890964,0.484061396,66101.81326
37939.72738,Wheat,24.91783344,1.162501832,0,7841.448368,0.712728436,76994.62893
31939.63179,Rice,19.28899546,0.89981848,1,2385.099142,0.404002632,45140.05257
12020.83882,Corn,22.26244591,0.90877989,1,2343.245228,0.721789811,14854.93359
12019.75342,Corn,16.35133467,1.103759305,1,3413.56931,0.252880659,16791.90128
7613.762548,Wheat,17.69106258,0.979895937,1,4249.672537,0.666079062,5604.998729
43977.92656,Wheat,23.96782606,1.110684223,0,4676.100233,0.70852858,86961.55902
32050.17553,Wheat,-0.013279646,0.826146463,1,7117.274952,0.309090592,37256.63875
36863.266,Wheat,9.576998546,0.995028477,0,1510.123889,0.458207919,55966.09078
5926.302243,Corn,-1.151622327,0.81344544,1,1312.054338,0.299299865,6271.660596
48645.94335,Corn,29.50672032,0.825061281,0,4527.195066,0.623962477,67253.03464
42459.91884,Wheat,27.76237359,1.162574981,1,7274.473229,0.521208661,83112.87428
14555.25998,Rice,-8.422927545,0.855698148,1,2740.918087,0.581194008,18268.15622
13182.12352,Rice,18.2230069,1.012968273,1,6773.540331,0.31789218,18291.13627
13253.20294,Corn,27.0099327,0.964438241,1,3338.453241,0.327047517,11531.5515
18690.90093,Corn,-2.776986195,0.938937331,1,8974.774979,0.224898395,17155.15324
28614.03942,Wheat,12.71780922,1.159933338,1,9061.209498,0.393240521,46731.24638
24437.52584,Wheat,26.6195319,0.808729359,0,3675.584839,0.535846797,35873.13723
18105.31131,Rice,-8.642160857,1.065515874,1,3069.943786,0.714760948,31798.9009
32533.38026,Wheat,17.89681069,1.185357774,0,4701.735749,0.600156468,60528.36367
11277.22373,Rice,1.893960295,1.024067273,1,3164.784267,0.461237794,14840.87681
18146.50918,Wheat,26.97584782,1.174728985,1,7051.45459,0.771872069,35097.62162
21486.28295,Rice,28.84232981,0.820903152,1,8434.582161,0.63154712,30252.34218
25523.14929,Rice,27.77065956,0.967517328,0,7057.829178,0.758099122,35928.3683
40332.91826,Wheat,8.968568666,0.904063116,1,8419.154025,0.516552784,61703.52605
13985.3202,Rice,24.48170604,1.092328386,1,4572.92946,0.355342565,17377.86356
28140.54973,Wheat,23.78197594,1.192518836,1,2406.852736,0.231696012,44942.93923
31658.6556,Corn,2.76401893,0.902612025,1,7641.558527,0.635650911,40389.5222
7090.268572,Corn,23.15661897,1.061669841,1,4244.270546,0.272781799,12925.09658
32339.51834,Wheat,-8.519694611,0.879239053,0,7041.437427,0.381665077,42646.21924
12673.58557,Corn,13.85079514,1.026132102,1,3435.795478,0.519482545,21681.53592
7927.321684,Corn,-0.799646508,0.985572995,1,1731.066713,0.538649953,7049.258958
47699.84918,Rice,-5.177324569,1.188802132,0,9933.236159,0.560349918,89728.44783
48453.44149,Wheat,-6.921871935,1.043410909,0,2405.813571,0.299753198,59796.14582
41377.88067,Wheat,17.85155104,0.939802549,0,9895.788946,0.427842443,54260.74665
18707.61961,Rice,3.594998551,0.845638314,1,9795.519393,0.570316536,29989.28453
9395.24513,Wheat,18.99067086,0.860498731,1,8144.362935,0.781891319,18389.38198
35790.48619,Wheat,-7.385746368,0.890126772,0,6934.806659,0.636578683,52214.15285
24806.86222,Corn,2.611613513,0.900386665,1,6200.263452,0.753562254,34293.12668
10491.72057,Wheat,11.5796517,1.140246423,0,8794.913908,0.657327235,23054.78765
27282.96096,Wheat,21.62892659,1.024489115,1,3604.955695,0.555030181,43561.7049
6547.48345,Rice,2.750100117,1.009356365,0,5209.130912,0.315214021,-2909.665097
45919.41809,Wheat,15.03565506,0.845907549,1,6574.509724,0.600011391,66063.32344
16645.09917,Wheat,25.43910993,1.144055877,1,4700.714283,0.57402774,29852.92572
34813.5028,Rice,14.63452753,1.089125721,1,4847.378087,0.561481502,65217.82819
19026.99842,Corn,-0.68162101,0.827067345,1,3972.562008,0.493871521,18032.11952
28403.06095,Rice,-9.023968738,1.083134039,1,6078.08635,0.517193962,30791.92472
29601.96257,Corn,24.80395496,1.017415287,1,8655.170752,0.400665516,43579.94791
13318.4505,Wheat,-9.149223566,0.832690138,0,2813.755402,0.511587616,18221.54027
48631.30825,Corn,24.98806691,0.983320257,0,9409.897349,0.318533543,54599.11436
39880.97705,Rice,11.15748536,0.993878515,1,7201.788884,0.683104638,61820.46203
47277.45237,Corn,27.56270794,0.866309816,0,8409.458914,0.311466173,67489.70524
45267.23077,Corn,21.95132943,1.178279259,0,6005.716234,0.250979774,65196.00446
31905.49905,Corn,29.91736442,1.139990149,1,8015.650313,0.461747616,56821.4128
46484.34058,Wheat,4.028472618,1.067608935,1,1145.803576,0.594984464,75901.15009
8982.162592,Wheat,20.68753156,0.984918224,1,8365.423823,0.462630095,2487.928778
13819.22881,Wheat,6.077236544,0.964706217,0,1361.249732,0.366052479,17360.23185
7035.228001,Rice,9.195024812,1.060389387,0,9009.220387,0.53490271,10122.47591
19639.86488,Wheat,15.10021853,1.018172748,1,9927.664725,0.408201401,26160.09566
22490.47804,Corn,24.94708457,0.824909242,0,3646.60716,0.759720614,32074.19411
17210.70643,Corn,29.36333877,1.00500106,0,2892.867007,0.753587084,31652.74819
42293.18791,Rice,20.73093655,1.122561447,1,7888.270275,0.501423092,70532.03228
21053.8997,Rice,6.710671287,0.983695951,1,3277.237068,0.396730396,22607.14384
17642.05294,Corn,6.854280091,0.820782631,1,8790.061449,0.642279448,26211.60766
29421.32374,Wheat,19.50329206,1.11451128,0,1925.583329,0.222027766,30323.91703
11341.59012,Rice,-0.448914169,0.880545513,0,2133.596767,0.484861404,4577.206225
41098.86413,Rice,-5.581035475,0.903448334,1,9812.363996,0.401794037,55745.49677
8354.778966,Rice,4.184886306,0.865882541,0,7064.550084,0.752321531,15211.84609
49409.91215,Corn,1.489559666,0.932086026,1,8621.98502,0.207201816,55309.84409
39751.01462,Rice,1.852324818,1.102700602,1,3918.964396,0.531688925,60161.99461
13942.20567,Rice,-0.655689958,1.007754344,1,7088.353746,0.644398149,19564.76274
5248.495271,Corn,-8.316272415,0.88195251,1,6348.176446,0.491010793,5588.041271
41695.76428,Rice,-9.285042611,1.151132031,0,6428.351081,0.251241818,52076.7964
36808.58047,Wheat,29.50889559,1.151832742,1,7142.792136,0.783476834,71919.50933
37805.32256,Corn,7.110925349,1.14823137,1,6178.232558,0.510806259,68844.62934
39707.1656,Wheat,5.373065886,0.895518485,1,4861.561324,0.568511747,62910.45296
8332.009328,Corn,17.18589131,0.980495738,0,3483.304249,0.34196587,8866.015915
21130.95778,Corn,-1.269844485,1.193995862,0,7917.231978,0.490098851,41378.0473
10214.10768,Corn,27.99844736,1.108804991,1,3036.45187,0.457489695,6936.431515
43839.65416,Corn,21.45380058,0.810866968,1,7231.188755,0.244937505,47552.45334
33048.41571,Wheat,-6.423559908,0.826081837,1,3099.995404,0.263696212,30480.04398
19890.41112,Corn,6.703231031,0.985572551,0,6627.97153,0.702483512,34911.26694
7860.125763,Corn,25.1647323,1.163688082,1,7723.704404,0.343891971,11053.4612
18994.20448,Corn,27.78928089,1.015480719,1,2968.425,0.316974963,32004.2103
19633.24949,Wheat,8.69606045,0.999125003,1,1539.489708,0.502946871,25109.73347
37832.27803,Corn,14.53645557,0.84218948,1,2178.763687,0.661248279,56068.63536
33690.08621,Corn,-3.318642156,1.062712042,0,6453.972705,0.237167911,42896.61258
44924.57342,Rice,29.64674505,1.128841264,1,8645.017656,0.546084752,77614.62374
26249.67163,Corn,-0.733131945,0.952168003,0,1404.971391,0.271526266,30861.38189
10381.74107,Wheat,27.70927097,1.11024474,1,7607.361331,0.22187663,9855.318601
37096.01543,Wheat,15.98586596,1.185790662,1,4071.867814,0.231646371,54107.2996
39235.32719,Corn,14.3094718,0.881506584,1,5306.755329,0.700498465,58500.53758
30257.47389,Wheat,10.50754044,1.009331852,1,9359.735949,0.27078349,40015.71576
39693.5231,Corn,-0.773207531,0.914855183,0,3987.743543,0.227090819,44982.8874
27220.80184,Wheat,-2.93887872,1.117141768,1,5188.032405,0.462739932,48471.15494
28522.97732,Corn,-1.180551637,1.031037346,1,1123.141733,0.706396083,54799.67397
24239.34583,Wheat,-2.542469514,1.053832967,0,1734.38848,0.357445026,29421.76012
6143.860703,Rice,21.18337894,1.119165664,0,3327.32432,0.453027571,14334.87709
9855.114215,Rice,4.005010367,0.958388189,1,1250.670167,0.22395352,5628.589535
6414.313356,Wheat,-7.686292937,1.166036027,0,6682.377934,0.469447108,13929.74527
33638.46851,Corn,28.76410521,1.013211547,1,4837.585211,0.546567848,55810.1876
19146.01915,Wheat,25.3514354,0.863181929,1,5933.306825,0.542544232,15936.26932
27885.6811,Corn,27.11009133,1.078359647,1,2571.824673,0.399456015,42547.64871
45840.49133,Corn,29.79631291,1.11730454,0,3663.388265,0.389319908,68815.41347
16218.15031,Rice,-3.044190031,0.926704671,1,6974.420274,0.263974171,15202.99218
23467.23154,Corn,5.849680756,1.142871703,1,9687.724513,0.420078992,44840.82974
38999.80123,Rice,20.32953903,1.162457302,0,1453.750962,0.259696801,53840.71929
15295.91745,Wheat,17.84082472,0.910761795,1,9013.458888,0.659957567,19092.88002
8464.095942,Rice,-3.844163746,1.193408589,1,6191.930812,0.779764579,18356.09882
18038.81538,Rice,22.633325,0.856284611,1,6075.276101,0.782044674,30954.05233
12254.95793,Wheat,-1.022377127,0.880806267,0,5502.506817,0.71904266,17847.52255
46836.39436,Wheat,-1.047295407,0.873689936,1,1624.546773,0.56047529,69687.26055
41365.41708,Rice,11.47897692,1.157595884,0,1808.891666,0.620519418,80252.53758
33503.16904,Corn,13.71759739,1.061717021,0,6408.208051,0.371123482,37881.01885
44215.72656,Wheat,13.20344831,0.860841713,1,4068.627143,0.578462252,57433.26633
41165.24346,Wheat,-6.340526504,0.976129367,1,9255.412599,0.47338973,56395.42416
13395.65265,Rice,25.09843451,1.04611921,0,4659.314836,0.489210404,23265.77966
45165.15493,Rice,0.624001704,0.833385634,0,2289.533128,0.654665936,49157.52612
29270.40089,Corn,-4.819403149,1.152966547,0,7432.469502,0.369151013,58950.8736
41334.80698,Rice,25.54992319,1.121441414,0,3640.180793,0.390823767,67126.16035
45324.1085,Rice,28.22605993,1.002082709,0,5729.232766,0.754785075,80444.09949
19310.15637,Wheat,24.48510469,1.186850646,0,7280.49507,0.233734577,34182.90266
9952.336604,Rice,22.38064299,0.967104392,1,9102.377001,0.491380579,26072.73144
15257.08231,Wheat,16.20967923,1.193644128,1,8129.720753,0.74768048,36181.66297
24219.85049,Rice,12.03429482,1.067168,1,7087.249611,0.566217805,45225.54796
41810.66447,Rice,-6.520529604,1.053868509,1,7116.698642,0.527844245,67974.76342
43732.87625,Corn,6.338128523,0.866381958,0,9513.321796,0.349846508,50437.21169
5312.845874,Wheat,4.90754068,1.152771103,1,3662.416877,0.405965293,6231.850471
27983.62862,Wheat,0.39015135,0.970995875,1,1010.008848,0.711229049,42366.93517
23783.49514,Wheat,18.93680455,0.864893362,1,3447.591035,0.535530879,28151.08695
14994.85147,Rice,9.835029403,0.805043008,1,2961.022417,0.508845316,11461.24692
10393.94153,Wheat,-6.758151364,1.023902273,1,6956.511266,0.259747828,13027.35829
20192.68271,Wheat,-1.192671922,1.010959849,1,6703.404398,0.209616894,16269.77106
47430.93668,Corn,17.33035055,1.087741449,0,6341.152444,0.778211113,92697.10981
19544.13194,Corn,-6.95476562,1.156103221,1,1146.190989,0.4261917,32043.19677
28345.57798,Wheat,24.04827656,0.831762634,1,7559.00249,0.561927837,37559.92516
